T36SYB_20220130T082059_B02_20m,T36SYB_20220130T082059_B03_20m,T36SYB_20220130T082059_B04_20m,T36SYB_20220130T082059_B05_20m,T36SYB_20220130T082059_B06_20m,T36SYB_20220130T082059_B07_20m,T36SYB_20220130T082059_B11_20m,T36SYB_20220130T082059_B12_20m,T36SYB_20220130T082059_B8A_20m,Yield
0.1182,0.1468,0.1262,0.1827,0.3565,0.4021,0.2227,0.1624,0.4008,7.04
0.1213,0.148,0.1261,0.1824,0.3589,0.4032,0.2238,0.1621,0.3998,6.36
0.1204,0.1486,0.1262,0.1831,0.3544,0.4053,0.2289,0.1637,0.4049,6.27
0.1191,0.1481,0.1275,0.1816,0.3632,0.412,0.2264,0.1616,0.4118,6.65
0.1208,0.1473,0.1267,0.1805,0.3566,0.4089,0.2234,0.1611,0.4083,6.24
0.1196,0.1459,0.1261,0.1818,0.3608,0.4053,0.2248,0.1619,0.4106,7.59
0.1191,0.1474,0.1268,0.1843,0.3593,0.4064,0.2294,0.1628,0.4128,6.8
0.1194,0.1479,0.1255,0.183,0.3605,0.4096,0.2273,0.1639,0.4103,6.42
0.1194,0.1489,0.1271,0.1841,0.3464,0.3899,0.2255,0.1637,0.3886,1.6
0.1213,0.1483,0.1303,0.1844,0.3375,0.3793,0.2292,0.1693,0.3817,3.86
0.1222,0.1497,0.1297,0.1878,0.331,0.3753,0.2302,0.1733,0.3787,4.28
0.1217,0.1507,0.1315,0.1894,0.345,0.3803,0.2311,0.1711,0.3816,4.84
0.1197,0.1497,0.1304,0.191,0.346,0.3812,0.2292,0.167,0.3815,4.58
0.1199,0.1489,0.1278,0.187,0.3398,0.3823,0.2291,0.1694,0.3878,4.4
0.1222,0.1507,0.1296,0.1869,0.3464,0.3867,0.2305,0.1707,0.3903,1.06
0.1247,0.1518,0.1349,0.1903,0.337,0.3761,0.2361,0.1729,0.3791,5.28
0.1237,0.1527,0.1341,0.1914,0.3296,0.3678,0.2307,0.1732,0.369,3.52
0.1273,0.1511,0.1352,0.1908,0.3293,0.3639,0.2311,0.1751,0.368,1.79
0.1283,0.1559,0.1419,0.1921,0.3271,0.3665,0.2431,0.1841,0.3727,1.37
0.131,0.1565,0.1466,0.1914,0.336,0.3748,0.2438,0.1858,0.3748,1.64
0.137,0.1637,0.1678,0.2042,0.2771,0.3019,0.2273,0.1778,0.3124,6.46
0.1242,0.1564,0.1306,0.1994,0.3724,0.4133,0.2334,0.1708,0.4112,6.67
0.1227,0.1556,0.1268,0.1937,0.3803,0.4274,0.2335,0.1661,0.4345,7.82
0.1246,0.1552,0.1265,0.1941,0.3807,0.4302,0.237,0.1689,0.4308,6.82
0.1254,0.1595,0.1365,0.2001,0.3496,0.3865,0.2363,0.1725,0.3848,4.84
0.1307,0.1625,0.1486,0.2034,0.3109,0.3359,0.2326,0.1787,0.3417,5.46
0.1348,0.1575,0.1624,0.1924,0.2702,0.2984,0.2417,0.1952,0.3058,7.15
0.1232,0.1482,0.132,0.1865,0.3038,0.3374,0.2231,0.1684,0.3353,6.13
0.1218,0.1476,0.1321,0.1815,0.3047,0.3352,0.219,0.1662,0.3365,6.79
0.1199,0.1471,0.1267,0.1805,0.3269,0.3633,0.2202,0.1642,0.3663,5.76
0.1184,0.1464,0.1222,0.1806,0.3569,0.4046,0.2216,0.1585,0.4023,5.66
0.1164,0.1453,0.1208,0.1807,0.357,0.4028,0.2231,0.1601,0.4018,6.26
0.1177,0.1448,0.1215,0.1783,0.3503,0.3969,0.2217,0.1595,0.3995,6.79
0.1175,0.1434,0.1208,0.1787,0.3588,0.412,0.2216,0.1594,0.4105,5.52
0.1172,0.1448,0.119,0.1803,0.3601,0.4089,0.2216,0.1596,0.4087,5.98
0.1175,0.146,0.1206,0.1794,0.3538,0.4,0.2217,0.1599,0.3984,5.92
0.1174,0.1459,0.1241,0.1798,0.3465,0.3916,0.2205,0.1605,0.3891,4.71
0.1183,0.1468,0.1218,0.1809,0.3508,0.3962,0.2232,0.1608,0.3941,5.59
0.1184,0.149,0.1266,0.1827,0.3505,0.3918,0.2214,0.1613,0.3935,5.64
0.1187,0.1502,0.1251,0.1851,0.3504,0.3883,0.2202,0.1617,0.3893,5.78
0.1214,0.1484,0.1263,0.1853,0.3469,0.386,0.2227,0.1615,0.3819,5.58
0.1215,0.1497,0.1284,0.1837,0.3364,0.3757,0.2239,0.1645,0.3799,6.35
0.1221,0.1493,0.1275,0.182,0.3389,0.381,0.2226,0.1637,0.3804,6.44
0.1195,0.1503,0.1285,0.1841,0.3426,0.3829,0.2208,0.1629,0.3858,6.71
0.1214,0.1491,0.1294,0.1847,0.342,0.3766,0.2202,0.1633,0.3754,2.98
0.12,0.1492,0.1293,0.1864,0.3349,0.3727,0.2224,0.1635,0.3691,5.74
0.1212,0.1495,0.1291,0.1881,0.3376,0.3813,0.2224,0.1639,0.3791,5.39
0.1221,0.1524,0.133,0.1924,0.3266,0.3566,0.2196,0.1644,0.3616,5.21
0.1205,0.1491,0.1303,0.189,0.3328,0.3711,0.219,0.1619,0.3675,5.96
0.1182,0.1479,0.1256,0.1808,0.3479,0.3888,0.223,0.1625,0.3949,6.54
0.119,0.1482,0.1251,0.1799,0.3491,0.3963,0.2241,0.1645,0.4003,6.9
0.118,0.1455,0.1234,0.1815,0.3592,0.4058,0.2242,0.165,0.4037,4.93
0.12,0.1478,0.1243,0.1852,0.3538,0.3946,0.2224,0.162,0.3935,4.61
0.1199,0.1474,0.1241,0.1834,0.3547,0.4023,0.2267,0.1656,0.4025,7.03
0.1248,0.1553,0.1382,0.1987,0.3487,0.3943,0.2434,0.1797,0.396,3.65
0.128,0.1553,0.1412,0.1998,0.3511,0.3866,0.2489,0.1825,0.3928,7.55
0.1274,0.1568,0.1439,0.1964,0.3611,0.4115,0.2483,0.1872,0.4136,2.16
0.131,0.1591,0.1466,0.2021,0.3503,0.3916,0.2443,0.1808,0.3963,1.68
0.1444,0.1685,0.1809,0.207,0.2629,0.2813,0.2232,0.1835,0.2842,5.34
0.1279,0.1603,0.1435,0.199,0.3278,0.3609,0.2306,0.1737,0.364,6.24
0.1226,0.1558,0.1268,0.1948,0.3884,0.4407,0.2341,0.1652,0.4401,7.71
0.1226,0.1535,0.124,0.1904,0.3887,0.44,0.2344,0.1652,0.4472,7.69
0.1227,0.1525,0.1256,0.1897,0.3841,0.4331,0.2373,0.166,0.4368,5.53
0.1273,0.1584,0.132,0.1947,0.361,0.4047,0.238,0.1697,0.4092,5.46
0.1233,0.1569,0.1309,0.1952,0.362,0.3984,0.2354,0.1698,0.4061,7.65
0.1248,0.1599,0.1357,0.2022,0.3434,0.3757,0.2349,0.1754,0.3804,5.97
0.1339,0.1609,0.1623,0.2053,0.29,0.3056,0.2436,0.1896,0.3148,5.46
0.1219,0.1511,0.1337,0.1871,0.3063,0.3375,0.2209,0.169,0.3394,3.11
0.1242,0.1508,0.1363,0.1829,0.2978,0.3249,0.2185,0.1685,0.3304,6.17
0.1223,0.1468,0.1298,0.1806,0.3213,0.3542,0.2187,0.1629,0.3564,6.18
0.1195,0.1461,0.1223,0.18,0.3502,0.3949,0.2213,0.1589,0.394,6.43
0.1166,0.1456,0.1233,0.1785,0.3592,0.4113,0.2237,0.1611,0.4078,5.62
0.1198,0.1457,0.1229,0.1822,0.3555,0.4075,0.2235,0.1614,0.4045,4.98
0.118,0.1455,0.1221,0.1817,0.355,0.3991,0.2264,0.1621,0.4053,3.97
0.1159,0.1464,0.1213,0.1804,0.3633,0.4112,0.2284,0.1652,0.42,4.4
0.1178,0.1461,0.1223,0.1822,0.3575,0.4099,0.2272,0.1642,0.4123,4.45
0.1196,0.1488,0.1241,0.1862,0.3562,0.4009,0.2241,0.1634,0.3979,5.05
0.1183,0.1484,0.123,0.1872,0.3552,0.3934,0.2276,0.1634,0.3954,4.25
0.1196,0.1475,0.1244,0.1861,0.353,0.3975,0.2272,0.1657,0.4026,3.52
0.1197,0.1489,0.1243,0.1838,0.3501,0.3958,0.228,0.1683,0.4007,4.22
0.1223,0.1511,0.1305,0.1898,0.3479,0.3877,0.2329,0.1724,0.3875,4.1
0.1212,0.1517,0.1334,0.1984,0.3424,0.3785,0.2359,0.1772,0.3827,3.54
0.1276,0.1542,0.1399,0.1948,0.3323,0.367,0.2413,0.1821,0.3713,3.15
0.1249,0.152,0.1357,0.1912,0.3296,0.3693,0.2301,0.1747,0.3693,1.45
0.1251,0.1542,0.1381,0.1982,0.3343,0.366,0.2342,0.1755,0.3668,3.22
0.127,0.1575,0.1444,0.2041,0.3272,0.359,0.2342,0.1772,0.3635,0.92
0.13,0.1586,0.1515,0.2007,0.302,0.3267,0.2334,0.182,0.3331,1.01
0.1318,0.1574,0.1512,0.1966,0.3051,0.3323,0.2353,0.1821,0.3358,1.35
0.1406,0.1653,0.176,0.2053,0.2661,0.2799,0.2204,0.1801,0.289,5.02
0.1333,0.1633,0.1582,0.2075,0.3044,0.337,0.2262,0.1759,0.3348,6.27
0.1232,0.1582,0.13,0.1957,0.3759,0.4227,0.2351,0.1666,0.4204,7.28
0.1208,0.1544,0.1246,0.1916,0.3906,0.4457,0.2351,0.1642,0.4473,7.9
0.1206,0.1547,0.1262,0.1902,0.398,0.4519,0.2358,0.1646,0.4564,5.58
0.1228,0.1536,0.1249,0.1918,0.3818,0.4315,0.2356,0.1661,0.4341,7.39
0.1228,0.1556,0.1279,0.1937,0.3692,0.4155,0.2375,0.1677,0.4166,7.97
0.1239,0.1556,0.13,0.193,0.3704,0.4152,0.2382,0.1685,0.4162,7.38
0.1294,0.1618,0.1437,0.2034,0.3443,0.3798,0.2354,0.1734,0.3824,7.53
0.1322,0.1636,0.1499,0.2088,0.307,0.3325,0.2327,0.1761,0.3351,6.74
0.1342,0.1628,0.1551,0.2064,0.3094,0.3336,0.2404,0.1823,0.3421,6.24
0.1233,0.15,0.1337,0.1879,0.3079,0.3361,0.227,0.1724,0.3409,5.38
0.1228,0.1513,0.1347,0.187,0.312,0.3448,0.2262,0.1742,0.3456,5.6
0.1207,0.1489,0.1282,0.183,0.3391,0.382,0.2234,0.1674,0.3727,4.79
0.1219,0.1497,0.129,0.1886,0.3448,0.3835,0.2261,0.1658,0.3877,3.2
0.1245,0.1522,0.1322,0.1915,0.3482,0.3902,0.2377,0.1744,0.3922,2.74
0.1309,0.1588,0.1479,0.1987,0.3334,0.3799,0.2502,0.1878,0.3833,2.79
0.136,0.1622,0.1558,0.2055,0.3267,0.3549,0.2537,0.1893,0.3605,3.16
0.1394,0.1687,0.1737,0.2091,0.2865,0.3068,0.2248,0.1816,0.3166,5.61
0.1255,0.1585,0.1347,0.2039,0.353,0.3999,0.2311,0.1706,0.3962,6.1
0.1224,0.1552,0.1286,0.1937,0.3897,0.4411,0.2345,0.1641,0.4392,7.3
0.121,0.1541,0.1239,0.1927,0.394,0.4476,0.236,0.1637,0.4508,7.72
0.1224,0.1551,0.1264,0.1928,0.3871,0.4375,0.2362,0.1643,0.4436,5.89
0.1224,0.1558,0.127,0.1931,0.3726,0.4213,0.236,0.1675,0.4198,6.07
0.1255,0.1575,0.129,0.1928,0.3732,0.4185,0.238,0.1679,0.4186,7.88
0.1241,0.1567,0.1318,0.1961,0.3573,0.3989,0.2384,0.1694,0.4016,6.48
0.1297,0.1626,0.146,0.2018,0.3357,0.3662,0.2367,0.1747,0.3698,7.18
0.1283,0.1594,0.1392,0.2035,0.3414,0.3767,0.2355,0.1724,0.3778,4.57
0.1258,0.1583,0.1356,0.2035,0.3503,0.3876,0.234,0.1716,0.3916,5.87
0.1292,0.159,0.1468,0.2034,0.3302,0.3683,0.2349,0.1796,0.37,6.67
0.1261,0.1531,0.1382,0.1907,0.3235,0.3564,0.2308,0.1726,0.3581,4.91
0.1439,0.1694,0.1858,0.2101,0.2642,0.2818,0.2263,0.1837,0.2921,4.98
0.1275,0.1615,0.1439,0.2068,0.3395,0.378,0.2314,0.1762,0.3784,6.04
0.1238,0.1572,0.1292,0.1991,0.373,0.4263,0.233,0.1649,0.4276,6.71
0.1222,0.1556,0.1261,0.1923,0.3863,0.4416,0.2344,0.1639,0.4426,7.25
0.1203,0.1528,0.1239,0.1895,0.3905,0.4487,0.2354,0.1643,0.4527,5.43
0.1223,0.1541,0.1252,0.1907,0.3819,0.4337,0.2365,0.1651,0.4375,4.05
0.1217,0.1547,0.1265,0.1919,0.3744,0.422,0.2366,0.1656,0.4262,8.03
0.1241,0.1553,0.1284,0.192,0.3786,0.4262,0.2374,0.1681,0.4251,7.26
0.1258,0.1601,0.1329,0.1961,0.3594,0.3978,0.2389,0.1708,0.4049,7.36
0.1285,0.1594,0.1382,0.2015,0.3497,0.383,0.2376,0.1718,0.3895,6.76
0.1258,0.1595,0.1352,0.2014,0.3465,0.3837,0.2396,0.1731,0.3913,4.75
0.1257,0.1594,0.1343,0.1975,0.3675,0.41,0.2366,0.1713,0.41,6.86
0.12,0.1511,0.128,0.1857,0.3479,0.3975,0.2239,0.1645,0.3975,2.85
0.1198,0.1479,0.1256,0.1858,0.3555,0.4,0.2214,0.1612,0.4006,6.74
0.1187,0.1476,0.1259,0.179,0.3275,0.3635,0.2133,0.1588,0.3663,4.95
0.1205,0.1477,0.1226,0.1797,0.355,0.4003,0.2165,0.1589,0.3978,5.24
0.1189,0.1466,0.1201,0.1794,0.3536,0.4004,0.217,0.1585,0.4031,4.47
0.1203,0.1471,0.121,0.183,0.3686,0.414,0.2159,0.1589,0.4106,6.3
0.1199,0.1491,0.1238,0.1837,0.3651,0.4167,0.2174,0.1578,0.4105,3.28
0.1179,0.1467,0.1212,0.1813,0.359,0.4002,0.2173,0.1576,0.4053,6.2
0.1168,0.1469,0.123,0.1797,0.3694,0.4209,0.218,0.1586,0.4219,8.02
0.1164,0.1455,0.1205,0.1789,0.3757,0.4345,0.2191,0.1572,0.4339,6.54
0.1171,0.1444,0.1205,0.178,0.3829,0.4441,0.2202,0.1588,0.4434,3.57
0.1173,0.1448,0.1219,0.1773,0.3827,0.4383,0.2218,0.1571,0.441,5.18
0.1179,0.1453,0.1222,0.1839,0.3799,0.4365,0.2237,0.1599,0.4349,6.23
0.1441,0.1659,0.1799,0.2082,0.2675,0.2905,0.2227,0.1846,0.2918,4.99
0.1319,0.1643,0.1566,0.2074,0.309,0.3354,0.2315,0.1788,0.3434,6.32
0.1248,0.158,0.1318,0.1999,0.3782,0.4243,0.2351,0.1686,0.4251,6.82
0.122,0.1557,0.1263,0.1964,0.3814,0.4297,0.2345,0.1659,0.4358,7.02
0.1217,0.1533,0.1248,0.192,0.3892,0.4426,0.2351,0.1637,0.4492,5.11
0.1214,0.1539,0.1241,0.1897,0.3898,0.4447,0.2363,0.1641,0.4467,5.75
0.1216,0.1553,0.1245,0.1893,0.3866,0.4422,0.2365,0.1656,0.4369,7.78
0.1238,0.1538,0.1259,0.1925,0.3759,0.4263,0.2363,0.1648,0.43,8
0.1244,0.1549,0.1281,0.1929,0.3788,0.4289,0.2377,0.1668,0.4314,7.86
0.1257,0.1565,0.1306,0.1959,0.3706,0.4112,0.2381,0.1695,0.4134,7.14
0.1265,0.1601,0.1354,0.2013,0.3572,0.3928,0.2372,0.1705,0.3999,5.12
0.1282,0.1604,0.138,0.1975,0.3517,0.3838,0.2376,0.1712,0.3932,4.92
0.1233,0.1511,0.1265,0.1873,0.3559,0.4032,0.2313,0.1682,0.4041,5.75
0.1211,0.148,0.1272,0.1836,0.3446,0.3848,0.2208,0.162,0.3848,6.51
0.1236,0.1501,0.1267,0.1853,0.3488,0.3885,0.221,0.1612,0.3898,6.64
0.1204,0.1488,0.1255,0.186,0.3531,0.3946,0.2195,0.1621,0.3975,6.71
0.12,0.1489,0.1268,0.1848,0.3537,0.3949,0.2195,0.1622,0.3891,6.45
0.1191,0.1477,0.126,0.1837,0.3539,0.3976,0.2202,0.1598,0.3965,4.42
0.1198,0.1504,0.1267,0.1831,0.3526,0.3981,0.2195,0.1608,0.3956,5.84
0.1201,0.1482,0.1251,0.1823,0.3588,0.4052,0.2189,0.1605,0.4035,5.84
0.1175,0.1482,0.1241,0.1825,0.3597,0.4049,0.218,0.1593,0.4006,5.57
0.1191,0.1457,0.1222,0.1832,0.3667,0.4174,0.2179,0.159,0.4149,5.46
0.1192,0.1476,0.1226,0.18,0.3568,0.3984,0.2176,0.1575,0.3964,5.38
0.1199,0.1469,0.1242,0.178,0.3468,0.3865,0.2139,0.1578,0.3857,4.88
0.1193,0.148,0.1241,0.1806,0.3429,0.384,0.2125,0.1578,0.3818,4.73
0.12,0.1471,0.1269,0.1808,0.3249,0.3631,0.2123,0.1576,0.3593,4.42
0.1199,0.1473,0.1258,0.1792,0.3292,0.366,0.2139,0.1591,0.3654,3.8
0.1215,0.1483,0.1251,0.1807,0.3376,0.3783,0.2161,0.1596,0.3744,4.5
0.1163,0.1473,0.1218,0.1816,0.3492,0.3893,0.2148,0.1584,0.3915,4.85
0.1195,0.149,0.1234,0.1839,0.3582,0.4001,0.2162,0.1588,0.3988,4.95
0.1186,0.148,0.1233,0.1851,0.3535,0.3983,0.221,0.1626,0.3988,5.87
0.1178,0.1461,0.1264,0.184,0.3465,0.3885,0.2193,0.1629,0.3884,5
0.1197,0.1479,0.1252,0.1824,0.3561,0.4013,0.2199,0.1627,0.3972,6.43
0.1182,0.1482,0.1231,0.1849,0.3627,0.4076,0.2241,0.1633,0.4098,6.28
0.1198,0.1483,0.1253,0.1843,0.3607,0.4153,0.2254,0.165,0.4176,5.84
0.1393,0.1615,0.1719,0.2034,0.2713,0.2874,0.2199,0.18,0.2957,5.02
0.1375,0.1641,0.1679,0.2108,0.2927,0.3202,0.2285,0.18,0.3234,6.19
0.1261,0.1571,0.1311,0.202,0.3641,0.4073,0.2339,0.1696,0.4078,6.28
0.1222,0.1575,0.1278,0.196,0.3804,0.434,0.2353,0.1654,0.4305,6.92
0.1231,0.1563,0.1279,0.1968,0.384,0.4344,0.2349,0.1661,0.4378,5.7
0.1206,0.154,0.1237,0.1913,0.3862,0.4402,0.2353,0.1638,0.4485,7.73
0.1221,0.1547,0.1243,0.1918,0.3834,0.4382,0.2368,0.1634,0.4417,8.21
0.1238,0.1561,0.1254,0.1902,0.3841,0.4391,0.2371,0.1666,0.4409,7.81
0.1219,0.1557,0.127,0.1909,0.3849,0.435,0.237,0.1653,0.4429,7.26
0.1216,0.1555,0.1264,0.1925,0.3813,0.4342,0.2371,0.167,0.4349,8.38
0.1235,0.1568,0.1319,0.1973,0.3734,0.4179,0.2386,0.1679,0.4161,7.32
0.1272,0.1591,0.1348,0.202,0.3637,0.4018,0.2368,0.1705,0.4076,4.33
0.1253,0.1583,0.1326,0.1993,0.3607,0.3969,0.2365,0.1723,0.4009,6.12
0.121,0.1489,0.124,0.1836,0.3656,0.4149,0.228,0.1646,0.4183,6.1
0.1227,0.151,0.1295,0.1861,0.3441,0.3851,0.2212,0.1631,0.3837,6.25
0.1224,0.1513,0.1288,0.187,0.3407,0.3762,0.2188,0.1628,0.3724,2.92
0.1249,0.153,0.134,0.1886,0.3341,0.3679,0.219,0.1651,0.3696,5.69
0.1244,0.1531,0.134,0.1914,0.3273,0.3594,0.2195,0.1647,0.3631,3.49
0.1241,0.152,0.1335,0.1894,0.3292,0.3636,0.2168,0.1627,0.3631,4.12
0.1216,0.1513,0.133,0.1877,0.3404,0.377,0.2189,0.1638,0.3707,5.16
0.1247,0.1544,0.1395,0.1913,0.3054,0.3358,0.2159,0.1684,0.3301,5.9
0.1265,0.1553,0.1465,0.1923,0.2953,0.3204,0.2123,0.1693,0.3175,4.36
0.1198,0.1513,0.13,0.186,0.3407,0.3764,0.217,0.1639,0.3738,5.85
0.1224,0.1503,0.1303,0.186,0.3406,0.3764,0.2189,0.1639,0.3724,4.65
0.1225,0.1517,0.1322,0.1879,0.3367,0.3716,0.2177,0.1633,0.3637,5.49
0.1219,0.1513,0.1316,0.1884,0.3368,0.3764,0.2204,0.1642,0.374,5.62
0.12,0.1512,0.1292,0.1859,0.3393,0.3788,0.2203,0.1632,0.3821,5.88
0.12,0.1482,0.1286,0.1859,0.3512,0.3905,0.2177,0.1621,0.3917,5.16
0.1187,0.1499,0.1276,0.1839,0.3515,0.3905,0.2191,0.1622,0.3903,5.82
0.1208,0.1478,0.1273,0.1838,0.3456,0.3857,0.2205,0.1632,0.3878,5.64
0.1205,0.1487,0.1269,0.1852,0.3432,0.3898,0.2204,0.1648,0.392,6.51
0.1214,0.1486,0.1278,0.1851,0.3424,0.3792,0.221,0.1636,0.3777,7.02
0.1204,0.1492,0.1288,0.1883,0.3353,0.369,0.2206,0.166,0.375,5.63
0.1427,0.1676,0.1795,0.2107,0.2801,0.2994,0.2276,0.1837,0.3062,4.45
0.1248,0.1609,0.1381,0.2058,0.3401,0.3763,0.2335,0.1732,0.3817,6.17
0.1228,0.1576,0.1293,0.1982,0.3802,0.4291,0.236,0.1655,0.4343,6.79
0.1215,0.1565,0.1272,0.1962,0.3758,0.4282,0.2353,0.1654,0.4286,6.11
0.1223,0.1559,0.1279,0.1954,0.3879,0.438,0.235,0.1651,0.4386,7.38
0.1221,0.1546,0.1231,0.1907,0.3934,0.4485,0.2362,0.1638,0.4529,5.06
0.1235,0.1546,0.1249,0.1918,0.3766,0.4355,0.2386,0.1639,0.4397,5.84
0.1218,0.1561,0.1265,0.1912,0.376,0.4331,0.2369,0.1678,0.4321,5.06
0.1219,0.1549,0.1256,0.1906,0.3861,0.4379,0.2369,0.166,0.4466,8.11
0.1239,0.1547,0.1279,0.1918,0.3827,0.4349,0.2382,0.1674,0.435,7.61
0.1266,0.1566,0.1293,0.196,0.3724,0.4212,0.2386,0.1685,0.419,5.91
0.1264,0.1601,0.1351,0.2003,0.3724,0.4159,0.2375,0.1705,0.4134,5.51
0.1191,0.1502,0.1265,0.186,0.3457,0.3913,0.2221,0.1657,0.3883,5.23
0.1205,0.1504,0.1285,0.1898,0.3381,0.373,0.2206,0.1604,0.3755,2.8
0.1203,0.1513,0.1303,0.191,0.3353,0.3679,0.2199,0.1607,0.3701,3.36
0.1185,0.1501,0.1263,0.1901,0.3476,0.3821,0.2181,0.1598,0.3833,3.41
0.1192,0.1506,0.126,0.1876,0.349,0.3813,0.2213,0.1613,0.3815,4.35
0.1171,0.15,0.1268,0.188,0.353,0.3927,0.2205,0.1622,0.3988,4.62
0.1186,0.1497,0.1265,0.1873,0.3501,0.3929,0.2213,0.1612,0.4003,4.59
0.1193,0.1499,0.1256,0.187,0.3565,0.4034,0.2212,0.1617,0.4006,4.43
0.1227,0.1507,0.127,0.1901,0.3644,0.4082,0.2231,0.1616,0.413,4.52
0.1216,0.1515,0.1275,0.1875,0.3642,0.4061,0.2242,0.1621,0.408,5.4
0.1214,0.1473,0.1281,0.1862,0.3503,0.3949,0.2208,0.1626,0.3973,5.83
0.1201,0.1499,0.1277,0.1847,0.3516,0.3968,0.2217,0.1624,0.396,3.94
0.1217,0.1505,0.1296,0.1856,0.3435,0.3814,0.222,0.1635,0.3812,5.28
0.1224,0.1526,0.1308,0.1868,0.3366,0.3723,0.221,0.1649,0.3709,2.88
0.1254,0.1525,0.1348,0.1914,0.3202,0.3506,0.2215,0.1668,0.3493,2.88
0.1237,0.153,0.1354,0.1908,0.3218,0.3536,0.2202,0.166,0.3506,4.97
0.1233,0.1529,0.1364,0.194,0.308,0.3336,0.2212,0.1694,0.3364,5.2
0.127,0.1525,0.1369,0.1888,0.3085,0.339,0.2187,0.1698,0.3386,6.45
0.1465,0.1677,0.185,0.2114,0.2586,0.2706,0.2293,0.1857,0.2821,4.53
0.1321,0.1652,0.1548,0.2109,0.3235,0.3528,0.2312,0.1789,0.3549,6.28
0.1219,0.1572,0.1305,0.1998,0.376,0.4143,0.2365,0.1677,0.4239,6.96
0.1205,0.1551,0.1273,0.1973,0.3849,0.4336,0.236,0.166,0.4372,7.09
0.1236,0.1584,0.1284,0.198,0.3802,0.4245,0.235,0.1644,0.4269,5.1
0.122,0.157,0.1276,0.1941,0.3831,0.4295,0.2355,0.164,0.4367,6.38
0.1219,0.1545,0.1248,0.1934,0.3897,0.4465,0.2381,0.1653,0.4469,7.59
0.125,0.1563,0.1286,0.1942,0.3759,0.4228,0.2394,0.167,0.4272,7.21
0.1224,0.1538,0.127,0.1933,0.382,0.4287,0.2375,0.1685,0.4319,7.86
0.124,0.157,0.1285,0.1933,0.378,0.4241,0.2385,0.1678,0.4342,7.37
0.1236,0.1551,0.1298,0.1928,0.3762,0.43,0.2395,0.1687,0.4315,7.05
0.123,0.1551,0.1287,0.1942,0.3847,0.4317,0.2389,0.1691,0.4373,5.71
0.1255,0.1528,0.1397,0.1868,0.2947,0.327,0.2207,0.1724,0.325,2.47
0.123,0.1519,0.133,0.1924,0.321,0.3562,0.2217,0.1667,0.3565,4.8
0.1211,0.1518,0.1336,0.1931,0.3211,0.3468,0.2212,0.1663,0.3491,3.76
0.1255,0.1549,0.139,0.1971,0.3079,0.3306,0.2223,0.1669,0.3278,4.63
0.1251,0.1537,0.1386,0.1962,0.3033,0.3271,0.2231,0.1702,0.3286,4.3
0.1435,0.1645,0.1775,0.2081,0.2623,0.2825,0.228,0.1876,0.2867,5.79
0.1367,0.1668,0.1696,0.2093,0.2985,0.3226,0.2334,0.1811,0.3326,6.56
0.1231,0.1578,0.131,0.203,0.3747,0.4195,0.2342,0.1694,0.4218,6.62
0.1218,0.1557,0.1292,0.1966,0.388,0.4351,0.2387,0.1665,0.4382,6.46
0.1236,0.1586,0.1305,0.1989,0.3752,0.422,0.2371,0.1664,0.4267,5.71
0.1236,0.1575,0.1297,0.2004,0.3727,0.4193,0.2364,0.1659,0.4241,4.68
0.1236,0.157,0.1296,0.1961,0.3808,0.4261,0.2375,0.1655,0.4313,7.11
0.124,0.156,0.1269,0.1933,0.3762,0.4296,0.2388,0.1673,0.4323,7.62
0.1236,0.1545,0.1251,0.1913,0.3792,0.4245,0.2389,0.1682,0.426,7.65
0.123,0.155,0.1278,0.1903,0.384,0.4287,0.2388,0.1673,0.4332,7.82
0.1231,0.1563,0.1299,0.1933,0.3768,0.4239,0.2383,0.1665,0.428,7.37
0.1241,0.1563,0.1284,0.1931,0.3817,0.4295,0.239,0.168,0.4364,5.36
0.1476,0.1694,0.1899,0.2137,0.2571,0.2825,0.2327,0.1888,0.2853,6.53
0.1285,0.1594,0.1402,0.2077,0.3416,0.3757,0.2334,0.1743,0.3805,6.93
0.1227,0.1571,0.1296,0.1986,0.3869,0.4366,0.2371,0.1659,0.4426,6.85
0.1247,0.1579,0.1293,0.198,0.3825,0.4307,0.2371,0.1665,0.4339,6.11
0.1246,0.1578,0.1305,0.2,0.37,0.416,0.2366,0.168,0.4254,5.52
0.124,0.1586,0.1302,0.1973,0.3674,0.4151,0.2374,0.1678,0.4215,7.6
0.124,0.1573,0.1295,0.1973,0.3762,0.4262,0.2379,0.1674,0.4264,7
0.125,0.1554,0.1269,0.1917,0.3751,0.4238,0.2385,0.1667,0.4273,7.4
0.1227,0.1572,0.1271,0.1913,0.3758,0.4263,0.2387,0.1664,0.4308,8.12
0.1254,0.1539,0.1279,0.1926,0.383,0.4291,0.2402,0.1671,0.4377,7.7
0.1227,0.1544,0.1272,0.1917,0.3848,0.442,0.2387,0.1668,0.4433,3.52
0.1251,0.1558,0.1275,0.1902,0.3923,0.4367,0.2398,0.1688,0.4472,6.69
0.146,0.1706,0.1824,0.2112,0.2771,0.2923,0.2313,0.1925,0.2983,3.65
0.1339,0.1647,0.1572,0.2119,0.3076,0.3307,0.2318,0.1792,0.3303,5.47
0.1314,0.1616,0.1491,0.2064,0.3534,0.3803,0.233,0.1726,0.3822,5.63
0.1275,0.1611,0.1407,0.2021,0.3647,0.4131,0.236,0.1696,0.414,5.38
