customer_id,recency_days,number_of_orders,revenue,most_recent_visit
26587,186,6,539,29/06/2020
8861,42,6,582,20/11/2020
22099,189,9,833,26/06/2020
4194,77,13,1508,16/10/2020
35351,117,13,1549,06/09/2020
10790,245,10,861,01/05/2020
37726,109,9,576,14/09/2020
28426,172,10,455,13/07/2020
27095,183,11,945,02/07/2020
1112,405,8,871,22/11/2019
7710,60,8,877,02/11/2020
38072,304,10,812,03/03/2020
12658,184,12,729,01/07/2020
1609,89,15,1206,04/10/2020
13484,137,14,1731,17/08/2020
28045,136,10,944,18/08/2020
25299,236,9,921,10/05/2020
27848,38,18,1629,24/11/2020
17325,201,10,743,14/06/2020
5110,214,10,1060,01/06/2020
28836,30,15,1928,02/12/2020
25951,152,8,487,02/08/2020
20059,87,8,929,06/10/2020
10131,142,14,1226,12/08/2020
12918,44,7,728,18/11/2020
18478,106,15,1223,17/09/2020
27654,104,10,1069,19/09/2020
24780,183,11,829,02/07/2020
9209,263,8,1003,13/04/2020
35201,120,9,795,03/09/2020
33777,77,11,823,16/10/2020
14502,81,10,791,12/10/2020
6694,47,11,1305,15/11/2020
23171,474,6,616,14/09/2019
18467,159,9,994,26/07/2020
25059,157,12,1126,28/07/2020
3567,123,12,1125,31/08/2020
7247,44,11,1227,18/11/2020
6201,164,12,877,21/07/2020
20360,82,7,533,11/10/2020
37419,291,6,442,16/03/2020
17121,210,8,623,05/06/2020
5661,81,8,695,12/10/2020
6760,184,12,948,01/07/2020
12720,120,9,745,03/09/2020
2273,96,9,1046,27/09/2020
459,81,14,1298,12/10/2020
16772,138,10,874,16/08/2020
38655,163,11,1084,22/07/2020
33509,205,6,555,10/06/2020
39852,595,8,752,16/05/2019
38200,199,6,360,16/06/2020
35296,151,9,839,03/08/2020
18080,133,11,1032,21/08/2020
27513,86,11,1230,07/10/2020
1616,164,16,1529,21/07/2020
12659,122,13,1323,01/09/2020
18957,204,6,384,11/06/2020
15914,111,10,1204,12/09/2020
35653,168,12,755,17/07/2020
17317,88,14,1424,05/10/2020
35251,100,6,466,23/09/2020
4220,52,7,750,10/11/2020
32070,185,11,1222,30/06/2020
2186,73,12,812,20/10/2020
7857,418,11,1185,09/11/2019
8826,196,8,684,19/06/2020
10279,120,12,1510,03/09/2020
37304,203,5,511,12/06/2020
1665,151,8,737,03/08/2020
33692,501,6,863,18/08/2019
27222,36,11,874,26/11/2020
29333,57,11,963,05/11/2020
28994,397,8,806,30/11/2019
4366,79,11,925,14/10/2020
2681,72,15,1201,21/10/2020
27240,172,10,1021,13/07/2020
33861,399,4,380,28/11/2019
1851,60,11,1199,02/11/2020
1092,145,10,962,09/08/2020
13858,238,4,303,08/05/2020
30251,355,9,895,11/01/2020
23219,91,9,974,02/10/2020
34228,240,14,1313,06/05/2020
34264,109,14,977,14/09/2020
1002,178,12,950,07/07/2020
9224,35,11,897,27/11/2020
18572,196,16,1215,19/06/2020
19997,83,11,1160,10/10/2020
39752,122,12,1321,01/09/2020
3889,244,7,666,02/05/2020
38468,179,10,933,06/07/2020
9427,477,10,735,11/09/2019
27446,590,7,476,21/05/2019
37656,48,11,636,14/11/2020
15776,156,9,865,29/07/2020
24152,5,11,996,27/12/2020
22549,273,5,303,03/04/2020
266,112,10,766,11/09/2020
39828,121,5,374,02/09/2020
22223,48,12,1188,14/11/2020
36509,185,10,1257,30/06/2020
24598,138,8,484,16/08/2020
16877,215,11,932,31/05/2020
33113,87,14,1378,06/10/2020
7708,423,13,1144,04/11/2019
22383,11,7,661,21/12/2020
13353,85,7,536,08/10/2020
22991,76,13,1088,17/10/2020
13716,135,13,1090,19/08/2020
11356,53,9,901,09/11/2020
32962,4,7,658,28/12/2020
11000,129,12,1456,25/08/2020
29905,160,8,657,25/07/2020
22982,361,10,800,05/01/2020
34543,135,7,727,19/08/2020
15724,175,17,1488,10/07/2020
37714,118,10,1002,05/09/2020
38820,261,6,604,15/04/2020
16337,104,12,1378,19/09/2020
17246,98,13,1570,25/09/2020
23275,163,18,2102,22/07/2020
21136,160,9,1027,25/07/2020
20087,78,10,1086,15/10/2020
35909,325,13,1430,10/02/2020
34434,111,15,1398,12/09/2020
4492,36,15,1694,26/11/2020
8800,256,11,1229,20/04/2020
19983,164,9,986,21/07/2020
36890,142,11,1025,12/08/2020
694,63,15,1343,30/10/2020
16244,124,10,876,30/08/2020
8221,60,7,496,02/11/2020
864,320,12,1126,15/02/2020
26789,476,5,544,12/09/2019
37103,56,11,1129,06/11/2020
4691,65,12,1214,28/10/2020
10004,394,14,1214,03/12/2019
11145,113,10,828,10/09/2020
28256,122,9,1219,01/09/2020
13345,195,15,1222,20/06/2020
9543,94,9,790,29/09/2020
4686,146,9,856,08/08/2020
35273,175,14,1269,10/07/2020
37649,67,6,707,26/10/2020
37308,233,8,929,13/05/2020
29445,73,11,994,20/10/2020
19618,260,12,1089,16/04/2020
3160,49,14,1576,13/11/2020
4855,145,12,1218,09/08/2020
31828,152,7,911,02/08/2020
6841,182,7,641,03/07/2020
21030,254,12,770,22/04/2020
39490,447,7,825,11/10/2019
37253,479,8,908,09/09/2019
11706,313,8,598,22/02/2020
31733,288,9,945,19/03/2020
27829,437,12,1207,21/10/2019
2048,46,8,812,16/11/2020
6356,77,6,551,16/10/2020
39835,109,8,966,14/09/2020
1614,102,17,1287,21/09/2020
38508,40,11,1360,22/11/2020
34907,60,8,1179,02/11/2020
19856,93,12,1034,30/09/2020
25622,175,9,985,10/07/2020
36716,82,9,964,11/10/2020
31164,209,10,1034,06/06/2020
22935,203,9,940,12/06/2020
15739,382,4,481,15/12/2019
703,231,10,918,15/05/2020
17419,102,9,747,21/09/2020
24538,334,5,507,01/02/2020
38822,134,13,1205,20/08/2020
23852,17,15,1330,15/12/2020
21243,140,9,1147,14/08/2020
9582,52,13,1169,10/11/2020
10686,98,7,784,25/09/2020
17977,192,10,911,23/06/2020
5675,111,8,771,12/09/2020
32260,34,9,663,28/11/2020
27287,158,11,1171,27/07/2020
24031,198,8,714,17/06/2020
5340,172,8,893,13/07/2020
31844,168,9,1047,17/07/2020
38754,524,6,351,26/07/2019
17426,538,4,470,12/07/2019
19476,18,8,983,14/12/2020
37800,143,9,779,11/08/2020
35878,98,4,504,25/09/2020
4892,610,3,155,01/05/2019
24667,595,7,381,16/05/2019
38863,39,12,880,23/11/2020
2069,165,11,1116,20/07/2020
37230,72,16,1357,21/10/2020
2195,392,7,656,05/12/2019
18845,203,11,665,12/06/2020
7184,11,16,1479,21/12/2020
33554,214,12,1015,01/06/2020
31678,220,10,921,26/05/2020
12287,144,15,1250,10/08/2020
12622,301,4,571,06/03/2020
1199,337,12,933,29/01/2020
2120,65,6,620,28/10/2020
16634,503,6,632,16/08/2019
22639,156,11,767,29/07/2020
38530,79,5,410,14/10/2020
28561,133,8,886,21/08/2020
8476,92,8,830,01/10/2020
12795,169,9,748,16/07/2020
23757,217,8,968,29/05/2020
28590,143,12,1087,11/08/2020
11976,78,10,1156,15/10/2020
15445,152,11,1101,02/08/2020
22045,441,10,979,17/10/2019
10882,95,6,529,28/09/2020
27112,4,10,877,28/12/2020
255,124,15,1461,30/08/2020
3270,131,11,980,23/08/2020
17882,128,8,657,26/08/2020
26413,110,8,784,13/09/2020
21360,205,15,1571,10/06/2020
36157,74,7,681,19/10/2020
3652,243,9,694,03/05/2020
3605,515,8,843,04/08/2019
39390,144,14,1576,10/08/2020
24705,111,7,724,12/09/2020
10743,60,7,653,02/11/2020
34581,27,12,883,05/12/2020
32999,70,13,1287,23/10/2020
11088,430,10,1052,28/10/2019
35519,237,6,587,09/05/2020
5359,100,13,1104,23/09/2020
23273,299,5,352,08/03/2020
13785,473,8,651,15/09/2019
26940,86,11,1263,07/10/2020
29914,92,13,1418,01/10/2020
7378,49,13,1588,13/11/2020
23249,27,12,1131,05/12/2020
5064,135,6,701,19/08/2020
36704,446,7,368,12/10/2019
24316,134,8,882,20/08/2020
37959,216,15,1200,30/05/2020
11433,249,9,440,27/04/2020
22625,56,11,1081,06/11/2020
14913,144,11,1020,10/08/2020
1979,6,13,1282,26/12/2020
17984,361,12,1227,05/01/2020
16408,114,9,810,09/09/2020
32160,105,9,653,18/09/2020
30841,134,10,728,20/08/2020
19188,225,7,655,21/05/2020
17774,145,9,683,09/08/2020
22532,141,15,1795,13/08/2020
27766,149,15,1395,05/08/2020
11368,153,6,534,01/08/2020
28058,64,11,1209,29/10/2020
11125,164,15,1542,21/07/2020
36292,95,13,1107,28/09/2020
20968,146,13,1281,08/08/2020
31264,386,8,682,11/12/2019
35686,356,8,857,10/01/2020
28235,108,14,1321,15/09/2020
26485,330,12,1235,05/02/2020
38056,56,12,1273,06/11/2020
7917,169,15,1610,16/07/2020
12816,85,12,1147,08/10/2020
37156,73,19,1762,20/10/2020
37363,105,7,693,18/09/2020
21309,146,10,822,08/08/2020
12018,182,14,1107,03/07/2020
181,170,7,727,15/07/2020
5342,521,7,992,29/07/2019
17565,215,13,1306,31/05/2020
34577,40,10,717,22/11/2020
36244,343,8,940,23/01/2020
9966,133,10,837,21/08/2020
33013,80,14,1369,13/10/2020
35874,122,7,690,01/09/2020
19786,194,11,756,21/06/2020
12797,428,13,1439,30/10/2019
8034,281,9,812,26/03/2020
8089,265,4,519,11/04/2020
26053,213,12,815,02/06/2020
37754,421,10,853,06/11/2019
25202,132,9,1036,22/08/2020
18221,163,10,1102,22/07/2020
35186,20,10,1042,12/12/2020
15936,190,12,1201,25/06/2020
33425,69,15,1880,24/10/2020
26359,176,10,1135,09/07/2020
11364,191,12,1354,24/06/2020
4554,217,13,1011,29/05/2020
5214,96,9,966,27/09/2020
1828,438,7,840,20/10/2019
29365,115,9,841,08/09/2020
27900,116,15,1092,07/09/2020
9901,330,4,479,05/02/2020
474,32,19,1940,30/11/2020
20659,100,12,1220,23/09/2020
35710,101,12,1138,22/09/2020
794,163,12,901,22/07/2020
14589,101,14,1263,22/09/2020
9263,155,7,798,30/07/2020
21942,267,15,1326,09/04/2020
22663,76,12,1187,17/10/2020
21298,120,9,1077,03/09/2020
1404,68,9,969,25/10/2020
1009,652,6,453,20/03/2019
1945,109,8,488,14/09/2020
13400,338,9,1090,28/01/2020
10771,202,12,872,13/06/2020
39932,54,10,814,08/11/2020
14106,114,9,859,09/09/2020
3569,16,7,791,16/12/2020
29521,144,11,805,10/08/2020
19584,214,12,916,01/06/2020
139,432,7,743,26/10/2019
19522,228,7,855,18/05/2020
20277,136,7,490,18/08/2020
8672,58,16,1288,04/11/2020
30989,179,8,542,06/07/2020
15639,123,10,839,31/08/2020
11480,129,4,339,25/08/2020
5816,66,8,669,27/10/2020
33330,185,5,385,30/06/2020
3434,163,16,1724,22/07/2020
4979,31,6,465,01/12/2020
15597,194,9,1060,21/06/2020
12844,210,11,1027,05/06/2020
20174,163,9,806,22/07/2020
34130,67,11,1046,26/10/2020
22466,112,11,987,11/09/2020
11612,24,17,1663,08/12/2020
27815,13,15,1221,19/12/2020
35634,117,12,1081,06/09/2020
7097,391,7,809,06/12/2019
34288,178,8,896,07/07/2020
25176,206,7,597,09/06/2020
4540,41,14,1398,21/11/2020
16760,252,15,1752,24/04/2020
2177,222,9,1245,24/05/2020
39346,167,13,1344,18/07/2020
3178,518,10,889,01/08/2019
16974,64,9,758,29/10/2020
12360,272,5,391,04/04/2020
36405,174,7,545,11/07/2020
11302,101,14,1349,22/09/2020
26610,169,12,1031,16/07/2020
3871,50,10,685,12/11/2020
3847,53,16,1394,09/11/2020
5008,88,5,307,05/10/2020
23730,18,14,1543,14/12/2020
38744,175,11,1100,10/07/2020
28134,418,8,999,09/11/2019
31079,84,11,990,09/10/2020
1991,170,12,1105,15/07/2020
20544,160,5,187,25/07/2020
39039,179,9,916,06/07/2020
26363,415,5,343,12/11/2019
8084,353,12,847,13/01/2020
30045,55,7,1139,07/11/2020
5743,210,7,449,05/06/2020
16260,358,11,1015,08/01/2020
3809,351,8,801,15/01/2020
21891,164,6,798,21/07/2020
1689,209,10,898,06/06/2020
29746,244,8,1118,02/05/2020
14200,34,8,513,28/11/2020
34575,110,10,651,13/09/2020
7127,214,11,1373,01/06/2020
24820,95,11,1224,28/09/2020
37208,94,12,1114,29/09/2020
18550,81,9,903,12/10/2020
15828,150,12,1128,04/08/2020
27989,117,11,1263,06/09/2020
22346,166,9,948,19/07/2020
33969,130,8,613,24/08/2020
159,153,4,434,01/08/2020
17885,226,11,1102,20/05/2020
22253,211,14,1581,04/06/2020
9489,215,6,720,31/05/2020
12202,111,9,1080,12/09/2020
34289,79,7,776,14/10/2020
9311,90,6,761,03/10/2020
3308,333,8,661,02/02/2020
9063,296,4,550,11/03/2020
21292,223,14,1705,23/05/2020
11743,90,7,882,03/10/2020
37860,99,7,907,24/09/2020
30667,418,4,383,09/11/2019
25335,210,9,869,05/06/2020
1521,10,10,1072,22/12/2020
11746,27,16,1718,05/12/2020
32297,58,15,1602,04/11/2020
34712,265,8,708,11/04/2020
19869,356,12,1053,10/01/2020
5882,140,10,907,14/08/2020
29477,116,9,992,07/09/2020
21332,423,6,526,04/11/2019
34587,165,4,474,20/07/2020
5992,160,8,540,25/07/2020
6805,373,7,761,24/12/2019
1315,73,8,506,20/10/2020
17207,142,9,1071,12/08/2020
10336,191,13,1597,24/06/2020
36658,168,6,687,17/07/2020
5375,125,14,1406,29/08/2020
12010,206,15,1398,09/06/2020
15226,269,11,878,07/04/2020
1384,177,8,510,08/07/2020
32022,467,9,701,21/09/2019
19747,186,11,1066,29/06/2020
34121,134,14,1265,20/08/2020
18026,22,10,866,10/12/2020
29921,379,8,625,18/12/2019
12905,92,18,1830,01/10/2020
2022,455,9,970,03/10/2019
31027,247,14,1565,29/04/2020
18916,128,11,1014,26/08/2020
13672,155,13,1157,30/07/2020
13322,108,10,1386,15/09/2020
4042,75,8,1080,18/10/2020
4125,193,6,421,22/06/2020
22059,25,10,1119,07/12/2020
17933,68,13,1371,25/10/2020
20756,76,12,1145,17/10/2020
12165,45,7,742,17/11/2020
12572,39,15,1522,23/11/2020
39469,473,12,1197,15/09/2019
28771,34,9,561,28/11/2020
5271,167,8,1000,18/07/2020
21561,104,17,1619,19/09/2020
35333,88,11,1034,05/10/2020
22002,215,11,1072,31/05/2020
1033,117,13,1083,06/09/2020
35395,242,8,955,04/05/2020
17681,126,8,933,28/08/2020
19301,52,6,607,10/11/2020
3093,148,8,803,06/08/2020
21210,252,11,1268,24/04/2020
3520,144,8,565,10/08/2020
31989,189,12,894,26/06/2020
17866,111,6,599,12/09/2020
15061,155,9,663,30/07/2020
1194,171,18,1675,14/07/2020
28951,5,6,461,27/12/2020
3743,215,15,1211,31/05/2020
5196,208,13,1395,07/06/2020
15164,174,11,1071,11/07/2020
31695,446,10,851,12/10/2019
6561,51,13,1349,11/11/2020
13998,325,9,1030,10/02/2020
991,164,8,801,21/07/2020
15798,188,10,1317,27/06/2020
30527,116,9,584,07/09/2020
4669,256,8,784,20/04/2020
1031,127,13,1087,27/08/2020
19627,266,12,855,10/04/2020
2809,126,12,1283,28/08/2020
25103,199,18,1417,16/06/2020
37948,111,9,574,12/09/2020
31327,214,9,826,01/06/2020
36144,201,9,589,14/06/2020
5860,491,10,946,28/08/2019
1621,190,10,1025,25/06/2020
33799,49,21,1954,13/11/2020
28815,383,17,1593,14/12/2019
36506,74,13,1336,19/10/2020
20653,180,6,447,05/07/2020
25342,11,7,516,21/12/2020
31539,188,6,496,27/06/2020
26127,120,12,1452,03/09/2020
23206,96,11,794,27/09/2020
28673,222,13,1570,24/05/2020
3374,97,13,1253,26/09/2020
13371,448,5,422,10/10/2019
1074,89,4,510,04/10/2020
18975,54,9,632,08/11/2020
10252,61,8,565,01/11/2020
33249,132,8,1029,22/08/2020
28833,41,7,834,21/11/2020
15699,267,6,897,09/04/2020
23897,177,7,569,08/07/2020
12349,117,9,754,06/09/2020
118,214,11,1124,01/06/2020
27389,423,5,498,04/11/2019
30492,103,12,1081,20/09/2020
35538,199,10,883,16/06/2020
2594,200,8,1091,15/06/2020
33995,280,9,846,27/03/2020
35522,111,12,1196,12/09/2020
13978,270,6,545,06/04/2020
2876,110,10,980,13/09/2020
24040,80,6,900,13/10/2020
7401,147,9,1007,07/08/2020
26619,73,8,969,20/10/2020
24447,271,13,815,05/04/2020
32598,84,18,1795,09/10/2020
35326,528,7,584,22/07/2019
37231,286,5,452,21/03/2020
32002,118,11,1133,05/09/2020
3400,128,14,1458,26/08/2020
15548,417,9,797,10/11/2019
21964,35,5,438,27/11/2020
26440,114,11,1045,09/09/2020
16726,340,5,509,26/01/2020
16799,93,12,945,30/09/2020
37068,228,10,985,18/05/2020
29414,388,4,292,09/12/2019
39204,268,12,933,08/04/2020
22858,89,6,407,04/10/2020
29239,227,7,644,19/05/2020
12497,313,12,961,22/02/2020
7714,80,11,1024,13/10/2020
9356,54,12,1112,08/11/2020
37537,212,10,914,03/06/2020
33199,181,13,1107,04/07/2020
3631,5,12,803,27/12/2020
25589,83,10,834,10/10/2020
5306,128,8,987,26/08/2020
21889,12,19,1836,20/12/2020
29339,133,10,999,21/08/2020
31511,591,5,501,20/05/2019
34181,599,5,623,12/05/2019
22631,300,11,1250,07/03/2020
10154,159,14,1380,26/07/2020
751,145,12,1220,09/08/2020
19449,134,12,1058,20/08/2020
11249,58,11,1032,04/11/2020
32244,74,11,726,19/10/2020
13820,74,8,499,19/10/2020
35928,161,9,1076,24/07/2020
4683,165,13,1067,20/07/2020
34850,206,7,767,09/06/2020
11022,177,4,276,08/07/2020
14281,155,7,868,30/07/2020
35341,377,8,896,20/12/2019
3610,208,7,762,07/06/2020
28009,39,11,878,23/11/2020
27699,35,12,1175,27/11/2020
9382,118,11,1338,05/09/2020
29589,190,10,1306,25/06/2020
935,76,11,853,17/10/2020
13378,89,12,1228,04/10/2020
33542,285,10,785,22/03/2020
25566,456,4,315,02/10/2019
39053,255,10,826,21/04/2020
3881,129,13,997,25/08/2020
15883,269,9,884,07/04/2020
11624,224,10,896,22/05/2020
31451,177,13,1348,08/07/2020
30728,142,9,761,12/08/2020
34203,413,16,1765,14/11/2019
5192,158,11,989,27/07/2020
29594,46,8,448,16/11/2020
1850,56,12,1055,06/11/2020
2244,106,13,1222,17/09/2020
23280,329,8,993,06/02/2020
9657,101,12,869,22/09/2020
4681,454,4,304,04/10/2019
23404,75,12,1470,18/10/2020
8933,58,16,1540,04/11/2020
13553,74,13,1189,19/10/2020
7259,91,10,932,02/10/2020
33143,413,7,542,14/11/2019
39755,134,9,674,20/08/2020
31065,161,7,696,24/07/2020
572,24,8,795,08/12/2020
37592,99,14,1046,24/09/2020
15553,27,7,764,05/12/2020
33047,119,9,971,04/09/2020
35734,143,6,597,11/08/2020
32286,209,13,1541,06/06/2020
7611,128,6,401,26/08/2020
18231,153,7,813,01/08/2020
17841,170,11,861,15/07/2020
15529,320,4,472,15/02/2020
8209,69,12,1065,24/10/2020
16671,315,9,813,20/02/2020
27657,56,7,812,06/11/2020
34687,289,8,877,18/03/2020
34811,129,14,1416,25/08/2020
28946,53,10,844,09/11/2020
21304,139,11,1088,15/08/2020
34250,230,5,583,16/05/2020
37524,91,10,815,02/10/2020
25098,143,9,593,11/08/2020
899,239,10,697,07/05/2020
28428,225,8,455,21/05/2020
19651,130,9,823,24/08/2020
7902,164,5,697,21/07/2020
20150,549,5,458,01/07/2019
11664,139,13,1159,15/08/2020
11991,96,9,684,27/09/2020
3905,251,9,527,25/04/2020
1311,132,12,1184,22/08/2020
12100,269,5,391,07/04/2020
2360,346,3,280,20/01/2020
12229,19,7,569,13/12/2020
2928,257,9,825,19/04/2020
38425,161,12,1261,24/07/2020
25775,49,9,1084,13/11/2020
33004,82,12,894,11/10/2020
13334,313,10,684,22/02/2020
21082,156,11,1077,29/07/2020
10298,203,7,711,12/06/2020
15407,107,7,916,16/09/2020
38727,381,8,728,16/12/2019
35115,118,10,987,05/09/2020
6026,185,11,886,30/06/2020
35213,610,6,743,01/05/2019
25650,222,13,1555,24/05/2020
9638,480,7,351,08/09/2019
29598,131,11,1174,23/08/2020
32613,146,10,813,08/08/2020
3702,103,6,544,20/09/2020
37214,117,8,503,06/09/2020
22444,182,10,681,03/07/2020
23015,124,8,688,30/08/2020
6248,27,12,1018,05/12/2020
33796,42,10,944,20/11/2020
958,276,10,1087,31/03/2020
6620,236,12,948,10/05/2020
17140,120,15,1181,03/09/2020
5857,51,9,992,11/11/2020
8626,488,4,464,31/08/2019
24264,11,15,1001,21/12/2020
11628,260,7,686,16/04/2020
9272,147,9,686,07/08/2020
565,153,5,315,01/08/2020
38063,8,9,1051,24/12/2020
30708,214,11,1028,01/06/2020
38975,214,10,954,01/06/2020
25146,68,13,1235,25/10/2020
10805,160,11,1276,25/07/2020
3870,419,7,663,08/11/2019
7748,13,12,966,19/12/2020
10462,30,8,1190,02/12/2020
27525,110,12,826,13/09/2020
34349,56,13,1404,06/11/2020
23107,99,10,728,24/09/2020
10607,213,9,693,02/06/2020
5158,229,7,740,17/05/2020
24851,107,8,887,16/09/2020
4208,379,12,1014,18/12/2019
28454,267,7,740,09/04/2020
3497,217,9,982,29/05/2020
17815,114,10,1282,09/09/2020
19330,409,6,431,18/11/2019
38149,254,5,389,22/04/2020
367,181,16,1488,04/07/2020
39237,153,12,1084,01/08/2020
25070,201,12,1257,14/06/2020
6944,216,7,608,30/05/2020
19521,143,6,569,11/08/2020
9253,120,15,1892,03/09/2020
1250,166,8,470,19/07/2020
1951,7,11,1008,25/12/2020
38873,168,10,910,17/07/2020
10999,14,13,1539,18/12/2020
7586,412,9,798,15/11/2019
39586,172,12,1420,13/07/2020
14349,98,6,516,25/09/2020
18954,280,11,1046,27/03/2020
24978,154,15,1563,31/07/2020
3692,51,11,1115,11/11/2020
38044,398,4,374,29/11/2019
9020,111,9,988,12/09/2020
10197,94,12,1374,29/09/2020
36987,70,10,1027,23/10/2020
39143,129,7,272,25/08/2020
4189,96,10,1036,27/09/2020
20772,132,5,392,22/08/2020
39029,254,9,780,22/04/2020
22040,52,16,1458,10/11/2020
37770,207,13,1356,08/06/2020
23816,255,4,418,21/04/2020
17911,245,11,1054,01/05/2020
30544,103,16,1784,20/09/2020
33055,10,9,720,22/12/2020
4260,154,12,1336,31/07/2020
23119,6,11,1304,26/12/2020
664,89,12,712,04/10/2020
16748,148,10,941,06/08/2020
14574,211,17,1468,04/06/2020
10477,88,7,804,05/10/2020
11642,145,5,522,09/08/2020
10516,145,14,1179,09/08/2020
82,89,9,985,04/10/2020
2920,129,14,1314,25/08/2020
30306,34,7,753,28/11/2020
26107,609,6,678,02/05/2019
2362,244,9,1136,02/05/2020
13103,233,6,592,13/05/2020
10513,156,5,514,29/07/2020
1571,138,8,708,16/08/2020
290,219,11,1064,27/05/2020
29483,213,15,1456,02/06/2020
26623,198,12,1143,17/06/2020
21859,117,12,1334,06/09/2020
6846,160,9,771,25/07/2020
24762,174,15,1605,11/07/2020
23487,155,10,1109,30/07/2020
39915,72,11,1246,21/10/2020
33700,23,13,1087,09/12/2020
23668,9,9,800,23/12/2020
1925,39,15,1648,23/11/2020
31132,264,9,1078,12/04/2020
22303,259,3,297,17/04/2020
39000,254,7,779,22/04/2020
4601,114,9,757,09/09/2020
16130,32,6,427,30/11/2020
7073,420,11,995,07/11/2019
35131,131,15,2148,23/08/2020
29839,94,9,827,29/09/2020
16843,90,8,844,03/10/2020
2955,178,10,1200,07/07/2020
14196,149,8,615,05/08/2020
5137,149,5,286,05/08/2020
24746,30,12,1117,02/12/2020
30630,156,12,908,29/07/2020
28111,126,13,1195,28/08/2020
17343,119,3,422,04/09/2020
11426,455,8,678,03/10/2019
18743,405,7,666,22/11/2019
34210,99,11,972,24/09/2020
26591,210,9,729,05/06/2020
35303,490,4,590,29/08/2019
16579,70,18,1587,23/10/2020
33869,191,14,1214,24/06/2020
17985,210,8,739,05/06/2020
25898,78,9,792,15/10/2020
22836,165,10,717,20/07/2020
22804,198,11,794,17/06/2020
30562,119,11,694,04/09/2020
21791,218,7,858,28/05/2020
37903,115,8,817,08/09/2020
38451,154,6,348,31/07/2020
2580,316,11,1118,19/02/2020
20322,90,13,1182,03/10/2020
4914,35,15,1473,27/11/2020
4405,149,7,592,05/08/2020
28094,52,13,1532,10/11/2020
5266,188,4,357,27/06/2020
37852,41,11,809,21/11/2020
31940,67,15,905,26/10/2020
6188,184,10,895,01/07/2020
31917,43,6,653,19/11/2020
7981,217,7,411,29/05/2020
30121,98,9,688,25/09/2020
10163,360,16,1499,06/01/2020
16003,326,7,592,09/02/2020
38004,128,5,742,26/08/2020
39394,109,9,655,14/09/2020
30585,126,13,1018,28/08/2020
13187,117,7,703,06/09/2020
30651,472,6,581,16/09/2019
36184,183,9,882,02/07/2020
28803,194,8,499,21/06/2020
19800,93,11,1046,30/09/2020
31997,160,5,238,25/07/2020
39631,233,9,814,13/05/2020
38810,92,11,1198,01/10/2020
1676,276,10,1327,31/03/2020
33696,165,10,923,20/07/2020
37145,85,6,499,08/10/2020
6407,74,7,413,19/10/2020
18655,69,7,709,24/10/2020
28981,70,12,1504,23/10/2020
23736,107,10,737,16/09/2020
11179,498,11,1000,21/08/2019
23976,104,14,1533,19/09/2020
30711,233,12,1265,13/05/2020
7985,182,16,1243,03/07/2020
27679,115,8,1089,08/09/2020
16643,123,11,917,31/08/2020
37108,214,11,1068,01/06/2020
20118,289,9,890,18/03/2020
39,425,7,728,02/11/2019
32011,57,14,1327,05/11/2020
9152,424,11,1373,03/11/2019
8383,138,10,972,16/08/2020
13513,128,7,532,26/08/2020
3661,135,12,1111,19/08/2020
28716,234,14,1476,12/05/2020
15657,170,6,731,15/07/2020
26324,9,14,1268,23/12/2020
29735,11,6,558,21/12/2020
37454,459,8,794,29/09/2019
15625,217,8,1057,29/05/2020
5262,75,12,1313,18/10/2020
13269,122,11,1522,01/09/2020
11377,290,10,764,17/03/2020
39724,51,15,1337,11/11/2020
3982,90,8,538,03/10/2020
35496,227,9,680,19/05/2020
1993,453,9,948,05/10/2019
38616,44,8,626,18/11/2020
15873,195,12,1540,20/06/2020
3262,177,6,824,08/07/2020
37884,19,8,822,13/12/2020
14017,93,9,907,30/09/2020
11230,330,11,1098,05/02/2020
5983,185,6,571,30/06/2020
33372,246,11,1145,30/04/2020
25200,449,10,876,09/10/2019
14629,99,15,1278,24/09/2020
18635,122,15,1331,01/09/2020
20082,182,10,1146,03/07/2020
39885,99,7,671,24/09/2020
4605,140,11,1139,14/08/2020
25968,23,9,1066,09/12/2020
29936,183,11,1038,02/07/2020
33743,158,18,1489,27/07/2020
31324,579,6,637,01/06/2019
31860,189,14,1350,26/06/2020
13190,186,11,1425,29/06/2020
32890,211,8,803,04/06/2020
4819,106,14,1154,17/09/2020
35708,19,7,691,13/12/2020
22237,264,10,1000,12/04/2020
24831,399,9,843,28/11/2019
16307,222,9,961,24/05/2020
5942,102,13,1224,21/09/2020
15198,66,8,713,27/10/2020
23706,158,6,542,27/07/2020
23626,109,9,1013,14/09/2020
30412,172,6,533,13/07/2020
9319,132,11,1418,22/08/2020
20241,166,9,846,19/07/2020
31454,390,6,662,07/12/2019
33913,408,7,368,19/11/2019
15505,17,10,787,15/12/2020
9290,81,8,1057,12/10/2020
35160,159,9,835,26/07/2020
27362,75,18,1814,18/10/2020
13442,91,10,956,02/10/2020
33683,326,6,937,09/02/2020
22960,449,8,738,09/10/2019
8360,90,11,1039,03/10/2020
17773,78,11,1123,15/10/2020
34704,314,10,1004,21/02/2020
36696,183,13,903,02/07/2020
6100,96,7,846,27/09/2020
32283,309,9,1108,26/02/2020
29898,304,11,1041,03/03/2020
22716,620,4,437,21/04/2019
24926,39,9,1028,23/11/2020
16778,190,7,611,25/06/2020
7595,66,10,1197,27/10/2020
2279,71,22,2259,22/10/2020
